model,threshold,precision,recall,f1_score
hist_gradient_boosting,0.01,0.5701254275940707,0.9993337774816788,0.7260406582768635
hist_gradient_boosting,0.02,0.6513243595310465,0.9993337774816788,0.7886435331230284
hist_gradient_boosting,0.03,0.6960556844547564,0.9993337774816788,0.8205689277899344
hist_gradient_boosting,0.04,0.7274052478134111,0.9973351099267155,0.8412475414442259
hist_gradient_boosting,0.05,0.7525150905432596,0.9966688874083944,0.8575523072513614
hist_gradient_boosting,0.06,0.7678479712378018,0.9960026648900733,0.867169373549884
hist_gradient_boosting,0.07,0.7806788511749347,0.9960026648900733,0.8752927400468384
hist_gradient_boosting,0.08,0.7905869910100476,0.9960026648900733,0.8814858490566038
hist_gradient_boosting,0.09,0.8006430868167203,0.9953364423717521,0.8874368874368874
hist_gradient_boosting,0.1,0.8109722976643129,0.9946702198534311,0.8934769599042489
hist_gradient_boosting,0.11,0.818431157432803,0.9940039973351099,0.8977135980746089
hist_gradient_boosting,0.12,0.8272222222222222,0.9920053297801465,0.9021508633747349
hist_gradient_boosting,0.13,0.8341736694677871,0.9920053297801465,0.9062690200852099
hist_gradient_boosting,0.14,0.8417184850197852,0.9920053297801465,0.9107033639143731
hist_gradient_boosting,0.15,0.8474672737620945,0.9920053297801465,0.9140577041129527
hist_gradient_boosting,0.16,0.8489167616875712,0.9920053297801465,0.914900153609831
hist_gradient_boosting,0.17,0.8541905855338691,0.9913391072618255,0.9176688251618872
hist_gradient_boosting,0.18,0.8571428571428571,0.9913391072618255,0.9193697868396663
hist_gradient_boosting,0.19,0.8615295480880649,0.9906728847435043,0.9215990083669042
hist_gradient_boosting,0.2,0.8654630168899243,0.9900066622251832,0.9235550031075201
hist_gradient_boosting,0.21,0.8673290473407365,0.988674217188541,0.9240348692403487
hist_gradient_boosting,0.22,0.8681898066783831,0.9873417721518988,0.9239401496259352
hist_gradient_boosting,0.23,0.8732311320754716,0.9866755496335776,0.9264935877385049
hist_gradient_boosting,0.24,0.8781212841854935,0.9840106595602931,0.9280552937480364
hist_gradient_boosting,0.25,0.8807394156231365,0.9840106595602931,0.9295154185022027
hist_gradient_boosting,0.26,0.8849610545236669,0.9840106595602931,0.9318611987381703
