model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,base_model,threshold_strategy,threshold
hist_gradient_boosting_tuned_f1,0.9932447873835517,0.355695067264574,0.9244755244755245,0.5137305699481866,0.9976441142294308,0.8701185357549139,hist_gradient_boosting,tuned_f1,0.8
hist_gradient_boosting_high_recall_0_90,0.9932447873835517,0.355695067264574,0.9244755244755245,0.5137305699481866,0.9976441142294308,0.8701185357549139,hist_gradient_boosting,high_recall_0_90,0.8
hist_gradient_boosting_default_0_50,0.9843446058169687,0.19377744557600673,0.9668997668997669,0.32285180572851807,0.9976441142294308,0.8701185357549139,hist_gradient_boosting,default_0_50,0.5
random_forest_default_0_50,0.9836068228727108,0.18018183487923592,0.9146853146853147,0.3010587693724106,0.9899354811749541,0.7440637558905049,random_forest,default_0_50,0.5
random_forest_tuned_f1,0.9836068228727108,0.18018183487923592,0.9146853146853147,0.3010587693724106,0.9899354811749541,0.7440637558905049,random_forest,tuned_f1,0.5
random_forest_high_recall_0_90,0.9836068228727108,0.18018183487923592,0.9146853146853147,0.3010587693724106,0.9899354811749541,0.7440637558905049,random_forest,high_recall_0_90,0.5
logistic_regression_tuned_f1,0.9849150379958216,0.15770412642669007,0.66993006993007,0.25530780847472684,0.9054786315326008,0.118879935807493,logistic_regression,tuned_f1,0.71
logistic_regression_default_0_50,0.9393200520406896,0.045145491212906945,0.7305361305361305,0.08503595170261836,0.9054786315326008,0.118879935807493,logistic_regression,default_0_50,0.5
logistic_regression_high_recall_0_90,0.7477376155934924,0.012350040271870451,0.8149184149184149,0.024331340520451272,0.9054786315326008,0.118879935807493,logistic_regression,high_recall_0_90,0.27
