model,threshold,precision,recall,f1_score
random_forest,0.01,0.1666296625222025,1.0,0.28565991055285944
random_forest,0.02,0.1670933986418791,1.0,0.28634109118657003
random_forest,0.03,0.16937485894831866,1.0,0.2896844543085979
random_forest,0.04,0.17494172494172494,1.0,0.29778791786529113
random_forest,0.05,0.18514863698038733,1.0,0.3124479600333056
random_forest,0.06,0.20045405982905984,1.0,0.33396373345199687
random_forest,0.07,0.21995896834701056,1.0,0.3606006006006006
random_forest,0.08,0.23946360153256704,0.9993337774816788,0.386349001931745
random_forest,0.09,0.26413100898045433,0.9993337774816788,0.4178272980501393
random_forest,0.1,0.28946352759552296,0.9993337774816788,0.4489001945234176
random_forest,0.11,0.3169237270230298,0.9993337774816788,0.48123195380173245
random_forest,0.12,0.3423155971683033,0.9986675549633578,0.5098639455782313
random_forest,0.13,0.37003209084176747,0.9986675549633578,0.5399855907780979
random_forest,0.14,0.40010683760683763,0.9980013324450366,0.571210676835081
random_forest,0.15,0.4251497005988024,0.9933377748167888,0.5954472843450479
random_forest,0.16,0.4499243570347958,0.9906728847435043,0.6188098210570121
random_forest,0.17,0.4729643765903308,0.9906728847435043,0.6402583423035522
random_forest,0.18,0.4894459102902375,0.988674217188541,0.6547540260313258
random_forest,0.19,0.5068493150684932,0.9860093271152565,0.6695317801402397
random_forest,0.2,0.5228318584070797,0.9840106595602931,0.6828478964401294
random_forest,0.21,0.5379285193289569,0.9826782145236509,0.6952627857647891
random_forest,0.22,0.5586337760910816,0.9806795469686875,0.7117988394584139
random_forest,0.23,0.5813217253660466,0.9786808794137242,0.7293942403177756
random_forest,0.24,0.601639344262295,0.978014656895403,0.7449885815782796
random_forest,0.25,0.6222410865874364,0.9766822118587608,0.7601763028260305
random_forest,0.26,0.639337112952464,0.9766822118587608,0.7727991565629942
random_forest,0.27,0.6605049594229035,0.9760159893404398,0.7878461952137671
random_forest,0.28,0.6821994408201305,0.9753497668221186,0.8028516588977241
random_forest,0.29,0.6973307912297426,0.9746835443037974,0.8130036121144762
random_forest,0.3,0.7140762463343109,0.9733510992671552,0.8237947561319425
random_forest,0.31,0.7305958938407612,0.972018654230513,0.834190966266438
random_forest,0.32,0.7431192660550459,0.9713524317121919,0.8420444701126191
random_forest,0.33,0.7553136340072576,0.9706862091938707,0.8495626822157435
random_forest,0.34,0.7727514635444386,0.9673550966022652,0.8591715976331361
random_forest,0.35,0.7882416984213392,0.9646902065289806,0.8675853804673457
random_forest,0.36,0.7974613686534217,0.9626915389740173,0.872321159070329
random_forest,0.37,0.811586051743532,0.9613590939373751,0.8801463860933212
random_forest,0.38,0.8248425872925015,0.9600266489007329,0.8873152709359606
random_forest,0.39,0.8345908299477656,0.9580279813457695,0.892059553349876
random_forest,0.4,0.8432527990571597,0.9533644237175216,0.8949343339587242
random_forest,0.41,0.8516746411483254,0.9487008660892738,0.8975732745036243
random_forest,0.42,0.8598300970873787,0.944037308461026,0.8999682438869482
random_forest,0.43,0.8717632552404438,0.9420386409060626,0.9055395453089977
random_forest,0.44,0.8813241723922548,0.9400399733510992,0.9097356544165055
random_forest,0.45,0.8885370487650411,0.9347101932045303,0.9110389610389611
random_forest,0.46,0.8985879332477535,0.9327115256495669,0.9153318077803204
random_forest,0.47,0.9047310434219054,0.9300466355762825,0.9172141918528253
random_forest,0.48,0.9108781127129751,0.9260493004663558,0.918401057152296
random_forest,0.49,0.9188290086493679,0.9200532978014657,0.9194407456724367
random_forest,0.5,0.9265003371544167,0.9153897401732178,0.920911528150134
random_forest,0.51,0.927891156462585,0.9087275149900067,0.9182093571188152
random_forest,0.52,0.9346629986244842,0.905396402398401,0.9197969543147209
random_forest,0.53,0.9380222841225627,0.8974017321785477,0.9172625127681308
random_forest,0.54,0.9403927068723703,0.893404397068621,0.9162965493679536
random_forest,0.55,0.9460610361958836,0.8880746169220519,0.9161512027491409
random_forest,0.56,0.9498567335243553,0.8834110592938041,0.9154297549188816
random_forest,0.57,0.9568397951719093,0.871419053964024,0.9121338912133892
random_forest,0.58,0.9629080118694362,0.8647568287808128,0.9111969111969112
random_forest,0.59,0.9654395191585274,0.8560959360426382,0.9074858757062146
random_forest,0.6,0.9681093394077449,0.8494337108594271,0.9048970901348474
random_forest,0.61,0.9701378254211332,0.844103930712858,0.9027431421446384
random_forest,0.62,0.970679012345679,0.8381079280479681,0.899535216303182
random_forest,0.63,0.9719407638347622,0.8307794803464357,0.8958333333333334
random_forest,0.64,0.9725274725274725,0.8254497001998667,0.892972972972973
random_forest,0.65,0.9731437598736177,0.820786142571619,0.8904951210697506
random_forest,0.66,0.9752791068580542,0.8147901399067289,0.8878402903811252
random_forest,0.67,0.9783480352846833,0.8127914723517655,0.8879184861717613
random_forest,0.68,0.9789644012944984,0.8061292471685543,0.8841797588600657
random_forest,0.69,0.9818930041152263,0.7948034643570953,0.8784977908689249
random_forest,0.7,0.9816207184628237,0.7828114590273151,0.8710155670867309
random_forest,0.71,0.9840201850294366,0.7794803464357095,0.8698884758364313
random_forest,0.72,0.985593220338983,0.7748167888074617,0.8675867213726222
random_forest,0.73,0.986336464560205,0.7694870086608927,0.8645209580838323
random_forest,0.74,0.9887640449438202,0.7621585609593604,0.8607975921745673
random_forest,0.75,0.9895196506550218,0.7548301132578281,0.8563869992441421
random_forest,0.76,0.990325417766051,0.7501665556295802,0.8536770280515542
random_forest,0.77,0.9919928825622776,0.7428381079280479,0.8495238095238096
random_forest,0.78,0.9927536231884058,0.7301798800799467,0.8414587332053742
random_forest,0.79,0.9944547134935305,0.7168554297135243,0.8331397599690282
random_forest,0.8,0.9962335216572504,0.7048634243837442,0.8255950058525166
random_forest,0.81,0.99712368168744,0.692871419053964,0.8176100628930818
random_forest,0.82,0.9970845481049563,0.6835443037974683,0.8110671936758893
random_forest,0.83,0.9980237154150198,0.6728847435043305,0.8038201352964585
random_forest,0.84,0.9979777553083923,0.6575616255829447,0.7927710843373494
random_forest,0.85,0.9989626556016598,0.6415722851432378,0.7813387423935091
random_forest,0.86,1.0,0.6302465023317788,0.7731916632611361
random_forest,0.87,1.0,0.608927381745503,0.756935817805383
random_forest,0.88,1.0,0.5829447035309794,0.7365319865319865
random_forest,0.89,1.0,0.564290473017988,0.721465076660988
random_forest,0.9,1.0,0.5329780146568954,0.6953498478922208
random_forest,0.91,1.0,0.5016655562958028,0.6681455190771961
random_forest,0.92,1.0,0.4696868754163891,0.6391659111514053
random_forest,0.93,1.0,0.4290473017988008,0.6004662004662005
random_forest,0.94,1.0,0.38507661558960693,0.556036556036556
random_forest,0.95,1.0,0.3217854763491006,0.48689516129032256
random_forest,0.96,1.0,0.24650233177881412,0.39551042223409943
random_forest,0.97,1.0,0.1558960692871419,0.2697406340057637
random_forest,0.98,1.0,0.06329113924050633,0.11904761904761904
random_forest,0.99,1.0,0.013990672884743505,0.02759526938239159
