model,threshold,precision,recall,f1_score
logistic_regression,0.01,0.17782253287525174,1.0,0.30195131764232547
logistic_regression,0.02,0.19169859514687101,1.0,0.32172328796484834
logistic_regression,0.03,0.19799498746867167,1.0,0.3305439330543933
logistic_regression,0.04,0.20188298587760592,1.0,0.33594449418084155
logistic_regression,0.05,0.20578557718672882,1.0,0.3413303013075611
logistic_regression,0.06,0.21013579728405432,1.0,0.34729291994447015
logistic_regression,0.07,0.21421435707149994,1.0,0.3528443817583451
logistic_regression,0.08,0.21797850711588732,1.0,0.3579348992488375
logistic_regression,0.09,0.22251891410769917,0.9993337774816788,0.36398932297985925
logistic_regression,0.1,0.22698364627498485,0.9986675549633578,0.369895126465145
logistic_regression,0.11,0.23184141242062878,0.9973351099267155,0.3762251822065846
logistic_regression,0.12,0.23740664230096933,0.9953364423717521,0.3833718244803695
logistic_regression,0.13,0.24303632513438672,0.9940039973351099,0.39057591623036647
logistic_regression,0.14,0.2490376569037657,0.9913391072618255,0.39807383627608345
logistic_regression,0.15,0.255377731887799,0.988674217188541,0.4059080962800875
logistic_regression,0.16,0.26193845065440396,0.9866755496335776,0.41397624039133474
logistic_regression,0.17,0.26895043731778423,0.983344437041972,0.4223780226069538
logistic_regression,0.18,0.27535687453042823,0.9766822118587608,0.4295970695970696
logistic_regression,0.19,0.2819868573637418,0.972018654230513,0.43715355805243444
logistic_regression,0.2,0.28764670777799883,0.9633577614923384,0.4430147058823529
logistic_regression,0.21,0.2958007410456978,0.9573617588274483,0.45195785500864916
logistic_regression,0.22,0.3030238500851789,0.9480346435709527,0.45925447797321284
logistic_regression,0.23,0.31028407839682887,0.938707528314457,0.46640185369083087
logistic_regression,0.24,0.3180059185067152,0.9307128580946036,0.4740413980318968
logistic_regression,0.25,0.323943661971831,0.9193870752831446,0.47908349244922754
logistic_regression,0.26,0.3316388283708545,0.9127248500999334,0.4865056818181818
logistic_regression,0.27,0.34059604307538194,0.9060626249167222,0.4950855478704041
logistic_regression,0.28,0.34762275915822294,0.8914057295136576,0.5001869158878505
logistic_regression,0.29,0.35319262623563985,0.8807461692205196,0.5041952707856598
logistic_regression,0.3,0.3592072667217176,0.8694203864090606,0.5083755356447215
logistic_regression,0.31,0.3676428774523742,0.8614257161892072,0.515344758868075
logistic_regression,0.32,0.3733955659276546,0.8527648234510327,0.5193751268005681
logistic_regression,0.33,0.3800360793746242,0.8421052631578947,0.5237207375181272
logistic_regression,0.34,0.38909541511771994,0.8367754830113258,0.5311905265383802
logistic_regression,0.35,0.39605221267112384,0.8287808127914723,0.5359758724687634
logistic_regression,0.36,0.4038777522182057,0.8187874750166556,0.5409330985915493
logistic_regression,0.37,0.4105084745762712,0.8067954696868754,0.5441473826106493
logistic_regression,0.38,0.41698706745893044,0.7948034643570953,0.5469967904630904
logistic_regression,0.39,0.4251883745963401,0.7894736842105263,0.5527052238805971
logistic_regression,0.4,0.4359542266519011,0.7868087941372418,0.5610451306413302
logistic_regression,0.41,0.4446564885496183,0.776149233844104,0.565396748362048
logistic_regression,0.42,0.4547945205479452,0.7741505662891406,0.5729783037475346
logistic_regression,0.43,0.46535052377115227,0.7694870086608927,0.5799648506151143
logistic_regression,0.44,0.4820083682008368,0.7674883411059293,0.5921356977640709
logistic_regression,0.45,0.49459108610990915,0.7614923384410394,0.5996852046169989
logistic_regression,0.46,0.5094001790510295,0.7581612258494337,0.6093708165997322
logistic_regression,0.47,0.5240073868882733,0.7561625582944703,0.6190346332151623
logistic_regression,0.48,0.5395614871306006,0.754163890739507,0.6290636287857738
logistic_regression,0.49,0.5560493827160494,0.7501665556295802,0.6386840612592173
logistic_regression,0.5,0.573394495412844,0.7495003331112592,0.6497256713831938
logistic_regression,0.51,0.5934530095036958,0.748834110592938,0.6621502209131075
logistic_regression,0.52,0.6127799016930638,0.7475016655562958,0.673469387755102
logistic_regression,0.53,0.6322033898305085,0.7455029980013325,0.6841944359523081
logistic_regression,0.54,0.6469221835075494,0.7421718854097269,0.6912814148309029
logistic_regression,0.55,0.6638805970149254,0.7408394403730846,0.7002518891687658
logistic_regression,0.56,0.6843730697961705,0.7381745502998002,0.7102564102564103
logistic_regression,0.57,0.699429296131896,0.7348434377081945,0.7166991552956465
logistic_regression,0.58,0.7201834862385321,0.7321785476349101,0.7261314833168153
logistic_regression,0.59,0.7365951742627346,0.7321785476349101,0.7343802205145339
logistic_regression,0.6,0.7517099863201094,0.7321785476349101,0.7418157273034087
logistic_regression,0.61,0.7698245614035087,0.7308461025982678,0.7498291182501708
logistic_regression,0.62,0.7837643678160919,0.7268487674883412,0.7542343587970964
logistic_regression,0.63,0.7983870967741935,0.7255163224516988,0.7602094240837697
logistic_regression,0.64,0.812874251497006,0.7235176548967355,0.7655974621078604
logistic_regression,0.65,0.8287461773700305,0.7221852098600933,0.7718049127803489
logistic_regression,0.66,0.8382352941176471,0.7215189873417721,0.7755102040816326
logistic_regression,0.67,0.8497246262785209,0.7195203197868087,0.7792207792207793
logistic_regression,0.68,0.8555555555555555,0.7181878747501665,0.7808764940239044
logistic_regression,0.69,0.8651050080775444,0.7135243171219188,0.7820372398685652
logistic_regression,0.7,0.8763396537510305,0.7081945369753497,0.7833456153279292
logistic_regression,0.71,0.8851634534786254,0.703530979347102,0.7839643652561247
logistic_regression,0.72,0.8861720067453626,0.7001998667554963,0.7822850762932638
logistic_regression,0.73,0.8922155688622755,0.6948700866089274,0.7812734082397004
logistic_regression,0.74,0.8987012987012987,0.6915389740173218,0.7816265060240963
logistic_regression,0.75,0.9025460930640913,0.6848767488341105,0.7787878787878788
logistic_regression,0.76,0.9057777777777778,0.6788807461692206,0.776085300837776
logistic_regression,0.77,0.9095840867992767,0.670219853431046,0.7717683160721135
logistic_regression,0.78,0.9127640036730946,0.6622251832111925,0.7675675675675676
logistic_regression,0.79,0.9159663865546218,0.653564290473018,0.7628304821150855
logistic_regression,0.8,0.9163498098859315,0.642238507661559,0.755189972581277
logistic_regression,0.81,0.9164265129682997,0.6355762824783477,0.7505900865460268
logistic_regression,0.82,0.9174757281553398,0.6295802798134577,0.7467404188067958
logistic_regression,0.83,0.9173228346456693,0.6209193870752832,0.7405641636869289
logistic_regression,0.84,0.9159919028340081,0.6029313790806129,0.7271996785857774
logistic_regression,0.85,0.9148494288681205,0.5869420386409061,0.7150974025974026
logistic_regression,0.86,0.9160467587672688,0.5742838107928048,0.7059787059787059
logistic_regression,0.87,0.9140369967355821,0.5596269153897402,0.6942148760330579
logistic_regression,0.88,0.9137737961926092,0.5436375749500333,0.681704260651629
logistic_regression,0.89,0.9150401836969001,0.5309793471019321,0.6720067453625632
logistic_regression,0.9,0.919526627218935,0.5176548967355097,0.6624040920716112
logistic_regression,0.91,0.9190821256038647,0.5069953364423717,0.6534993559467582
logistic_regression,0.92,0.9195544554455446,0.4950033311125916,0.6435686444348203
logistic_regression,0.93,0.919496855345912,0.4870086608927382,0.6367595818815331
logistic_regression,0.94,0.9205729166666666,0.4710193204530313,0.623182018510357
logistic_regression,0.95,0.9180327868852459,0.44770153231179216,0.6018808777429467
logistic_regression,0.96,0.9232954545454546,0.4330446369087275,0.5895691609977324
logistic_regression,0.97,0.9347496206373292,0.4103930712858095,0.5703703703703704
logistic_regression,0.98,0.9450915141430949,0.37841439040639574,0.5404376784015223
logistic_regression,0.99,0.9430523917995444,0.27581612258494337,0.4268041237113402
